CONT_ID;SCORE_RESULTS1;TRUTH1;SCORE_RESULTS2;TRUTH2
159471268;0.032915;0;0.063841;1
159299123;0.020824;1;0.038075;0
161333129;0.005064;1;0.630727;0
149906474;0.003146;1;0.111909;0
157658370;0.028726;1;0.161147;0
149857839;0.010736;1;0.153697;0
147958654;0.053324;1;0.294164;0
151303774;0.018567;1;0.305465;0
156469621;0.017281;1;0.311419;0
148031553;0.024279;1;0.082156;0
156130869;0.079701;1;0.457886;0
157312606;0.008604;1;0.999244;1
159663499;0.006135;1;0.164531;0
154909755;0.005096;1;0.123849;0
155067100;0.010503;1;0.041641;0
162420553;0.046608;1;0.083865;0
159783762;0.004393;1;0.829113;1
154917663;0.022941;1;0.218897;0
159294919;0.013431;1;0.057827;0
159798266;0.008627;1;0.090841;0
159798267;0.008627;1;0.090841;0
159798268;0.008627;1;0.090841;0
159798269;0.008627;1;0.090841;0
